date,timestamp,price,return_%,volatility
2025-10-18,1760823145678.25,107124.29462170319,0.0,0.0
2025-10-19,1760873522175.625,107821.60678846342,0.6509374640203847,0.0
2025-10-20,1760959917666.8333,110456.66494256856,2.4439054773825575,0.0
2025-10-21,1761046302377.4167,109849.41558404919,-0.5497625325145528,0.0
2025-10-22,1761132713933.2083,108078.0906660346,-1.612502814509098,1.5103689565379943
2025-10-23,1761219118417.9167,109388.9227906197,1.2128564785953033,1.5691750299740992
2025-10-24,1761305507027.625,110800.13637317244,1.290088197736372,1.6170686471062319
2025-10-25,1761391912619.875,111419.8836323262,0.5593379931108089,1.2438453801590745
2025-10-26,1761478317340.2917,112700.84747212572,1.1496725701370947,1.226650841665115
2025-10-27,1761564704787.0417,115099.14330297634,2.1280193402660963,0.5611072051312523
2025-10-28,1761651136334.4583,114269.49604361718,-0.7208109769985649,1.056392428203562
2025-10-29,1761737492205.3333,112395.125269261,-1.640307202930802,1.4947897363002927
2025-10-30,1761823965501.5833,109137.74631979619,-2.8981496676668383,2.0417108250708162
2025-10-31,1761910304550.0417,109622.15666626747,0.44385225351077917,1.929410472866674
2025-11-01,1761996736969.6667,110032.04089972966,0.3739063761626582,1.4142893670717462
2025-11-02,1762083117157.5,110307.0601195314,0.24994466843739627,1.5066466309622881
2025-11-03,1762169509285.9167,107700.37532576102,-2.3631169128664142,1.648156665619076
2025-11-04,1762255999308.5,103867.9117696047,-3.5584495825239926,1.866425093997976
2025-11-05,1762342308553.4583,102548.85364062486,-1.2699380458381815,1.690790602097709
2025-11-06,1762428704962.4583,102628.08295183675,0.07726006522661422,1.6205204951527645
2025-11-07,1762515112030.375,101663.74460942321,-0.9396437258465618,1.3942295391303385
2025-11-08,1762601555874.4583,102269.21586450645,0.5955626141938453,1.6067568313478526
2025-11-09,1762687961156.25,102767.18911539076,0.48692389657516433,0.8474964616930193
2025-11-10,1762774390033.375,105832.86236966756,2.983124556257488,1.4428780364603413
2025-11-11,1762860735691.1667,104635.59282512117,-1.1312833440754955,1.647558899787221
2025-11-12,1762947146185.0833,103119.53770304784,-1.4488904598716545,1.7627111663151578
2025-11-13,1763033532474.4167,101555.63542732276,-1.516591628085684,1.919420999967707
2025-11-14,1763120001422.5833,96820.76966753391,-4.662336796836164,2.7222770177760616
2025-11-15,1763206340498.0417,95792.69133761432,-1.061836559913576,1.5210070088734045
2025-11-16,1763292747174.1667,95206.6742943817,-0.6117554847344775,1.607421128362448
2025-11-17,1763373668109.8572,94590.7736671243,-0.6469090868073013,1.6962905880489694
